Request_ID,Date,WFH_Type
1,2024-06-03,AM
1,2024-06-04,AM
1,2024-06-05,AM
1,2024-06-06,AM
1,2024-06-07,AM
1,2024-06-08,AM
1,2024-06-09,AM
1,2024-06-10,AM
1,2024-06-11,AM
1,2024-06-12,AM
1,2024-06-13,AM
1,2024-06-14,AM
1,2024-06-15,AM
1,2024-06-16,AM
1,2024-06-17,AM
1,2024-06-18,AM
1,2024-06-19,AM
1,2024-06-20,AM
1,2024-06-21,AM
1,2024-06-22,AM
1,2024-06-23,AM
1,2024-06-24,AM
1,2024-06-25,AM
1,2024-06-26,AM
1,2024-06-27,AM
1,2024-06-28,AM
1,2024-06-29,AM
1,2024-06-30,AM
1,2024-07-01,AM
1,2024-07-02,AM
1,2024-07-03,AM
1,2024-07-04,AM
1,2024-07-05,AM
1,2024-07-06,AM
1,2024-07-07,AM
1,2024-07-08,AM
1,2024-07-09,AM
1,2024-07-10,AM
1,2024-07-11,AM
1,2024-07-12,AM
1,2024-07-13,AM
1,2024-07-14,AM
1,2024-07-15,AM
1,2024-07-16,AM
1,2024-07-17,AM
1,2024-07-18,AM
1,2024-07-19,AM
1,2024-07-20,AM
1,2024-07-21,AM
1,2024-07-22,AM
1,2024-07-23,AM
1,2024-07-24,AM
1,2024-07-25,AM
1,2024-07-26,AM
1,2024-07-27,AM
1,2024-07-28,AM
1,2024-07-29,AM
1,2024-07-30,AM
1,2024-07-31,AM
1,2024-08-01,AM
1,2024-08-02,AM
1,2024-08-03,AM
1,2024-08-04,AM
1,2024-08-05,AM
2,2024-02-12,PM
2,2024-02-13,PM
2,2024-02-14,PM
2,2024-02-15,PM
2,2024-02-16,PM
2,2024-02-17,PM
2,2024-02-18,PM
2,2024-02-19,PM
2,2024-02-20,PM
2,2024-02-21,PM
2,2024-02-22,PM
2,2024-02-23,PM
2,2024-02-24,PM
2,2024-02-25,PM
2,2024-02-26,PM
2,2024-02-27,PM
2,2024-02-28,PM
2,2024-02-29,PM
2,2024-03-01,PM
2,2024-03-02,PM
2,2024-03-03,PM
2,2024-03-04,PM
2,2024-03-05,PM
2,2024-03-06,PM
2,2024-03-07,PM
2,2024-03-08,PM
